0,1,2,3,4,5,6,7,8
,,(緑化ﾌﾞﾛｯｸ積),ﾌﾟﾚｷｬｽﾄ基礎ﾌﾞﾛｯｸ,【底幅、高さ、ﾌﾟﾚｷｬｽﾄ材規格(型)、基礎材規格、敷厚】,m,m,Q70082003,
,,,現場打小口止ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10213001,
,,,ﾌﾟﾚｷｬｽﾄ小口止ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10213002,
,,,現場打横帯(隔壁)ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10214001,
レベル１,レベル２,レベル３,レベル４,レベル５,積算用,工事数量総,ﾓｼﾞｭｰﾙ,
,,,,,,,,摘　　要
工事区分,工　　種,種　　別,細　　別,規　　格,単位,括表用単位,ｺｰﾄﾞ№,
（整地）,,,ﾌﾟﾚｷｬｽﾄ横帯(隔壁)ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10214002,
,,,緑化ﾌﾞﾛｯｸ積,【ﾌﾞﾛｯｸ規格(型)】,m2,m2,Q75151001,
,,,ﾌﾞﾛｯｸ植栽,【樹木名】,本,本,Q75152001,
,,,遮水ｼｰﾄ張,【材質、種類、寸法】,m2,m2,Q10218001,
,,,ｼｰﾙ材,【規格】,m,m,Q10218002,
,,,ﾌﾟﾚｷｬｽﾄ巻止ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10218003,
,,,現場打天端ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q70083002,
,,石積(張)工,石積(張)基礎,【ｺﾝｸﾘｰﾄ規格、底幅、高さ、基礎砕石の有無】,m,m,Q75155001,
,,,ﾌﾟﾚｷｬｽﾄ基礎ﾌﾞﾛｯｸ,【底幅、高さ、ﾌﾟﾚｷｬｽﾄ材規格(型)、基礎材規格、敷厚】,m,m,Q70082003,
,,,現場打小口止ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10213001,
,,,ﾌﾟﾚｷｬｽﾄ小口止ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10213002,
,,,現場打横帯(隔壁)ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q10214001,
